,Unnamed: 0,User,Tweet,Polarity Score,Neutral Score,Negative Score,Positive Score,Sentiment
12,12,Aussiepool1,"@douglisss @DeanSmele2 @SkySportsNews No mate ,not salty at all. It’s simple math and dodgy numbers submitted. It’s why they and Chelsea plus PSG are always under some kind of investigation . Who cares anyway.  Maybe Haaland can get the CL for City like Grealish and his £ 100 mil transfer fee did I think .",0.34,0.83,0.072,0.097,Positive
13,13,neon_denis,"Transfer fee:

Grealish (£100m) - (£27m) Son https://t.co/A4rAloS2ZG",0.0,1.0,0.0,0.0,Neutral
14,14,StucastleUtd,"@BBCMOTD I don't get the transfer fee.   100m for grealish,  only 51 mill for this guy",0.0,1.0,0.0,0.0,Neutral
15,15,broom_wagon,"@kop_girl77 Grealish offered to provide his own Alice bands, and that added about £40m onto the transfer fee.",0.0,1.0,0.0,0.0,Neutral
16,16,Cackalackyman,"@Millar_Colin Fee wise, this transfer doesn't fall into the Kane/Grealish category though",0.4767,0.78,0.0,0.22,Positive
17,17,CJ_MCFC,"@moschino1989 @TelegraphDucker Grealish: £100 million transfer fee (this includes all add ons and fees) with a 6-year contract for £300,000 (15.6 million per year). Total cost of 193.6 million. Sancho’s deal cost United £194.56 million. Also, City received 15% of the Sancho deal due to sell on clause. Enjoy",0.7184,0.885,0.0,0.115,Positive
18,18,lance_da_goat,@jbkfromnd @MenInBlazers You’re comparing a release clause to a transfer fee. They dropped 100 million on Grealish to sit on their bench. Comparing how Liverpool and City do business is hilariously ignorant.,-0.2732,0.932,0.068,0.0,Negative
19,19,Munro96Josh,@nakablackksheep @KNIALLS1991 @RLengy @FootballFunnnys No because we are talking about the transfer fee? Not the whole deal? Because the whole deal for grealish isn’t £100m that was how much they paid? How ever you want to look at it the page has got facts wrong,-0.6747,0.855,0.119,0.026,Negative
20,20,SheldonPapp,"Bayern payed 39m for vidal highest transfer fee at gotze 37 costa 30mil 

City 100 grealish 68m Dias 67m mahrez 

Barca zlatan 69mil Villa 40mil alves 35mil",0.0,1.0,0.0,0.0,Neutral
21,21,STAUNT0N,"@adamhammer7261 @AlfieMax_WHU @FootyAccums We lost Grealish due to a record transfer release clause fee and our manager, we'd be 8th since Gerrard arrived with Smith's team he inherited in November, big summer for us",-0.3182,0.933,0.067,0.0,Negative
22,22,MikeRennison,How tf are we signing Coutinho for a FIFTH of Grealish's transfer fee? Have we got chest codes enabled or something?,0.0,1.0,0.0,0.0,Neutral
23,23,CJ_MCFC,"@rushabhmody You are correct. Grealish total cost of £193.6 million. Sancho’s deal cost United £194.56 million. Also, City received 15% of the Sancho transfer fee due to sell on clause.",0.4215,0.912,0.0,0.088,Positive
24,24,goalmirror,Erling Haaland to Man City transfer fee and wages: Borussia Dortmund star set to cost less than Jack Grealish and could earn more than Cristiano Ronaldo as Etihad move nears completion https://t.co/EceIbO73BK,0.0,1.0,0.0,0.0,Neutral
25,25,thedailyretina,Erling Haaland to Man City transfer fee and wages: Borussia Dortmund star set to cost less than Jack Grealish and could earn more than Cristiano Ronaldo as Etihad move nears completion https://t.co/4cG7PBnJ7w,0.0,1.0,0.0,0.0,Neutral
26,26,uglifestlye,Erling Haaland to Man City transfer fee and wages: Borussia Dortmund star set to cost less than Jack Grealish and could earn more than Cristiano Ronaldo as Etihad move nears completion https://t.co/eAkXTm7M9m,0.0,1.0,0.0,0.0,Neutral
27,27,Sportsinformer3,Erling Haaland to Man City transfer fee and wages: Borussia Dortmund star set to cost less than Jack Grealish and could earn more than Cristiano Ronaldo as Etihad move nears completion https://t.co/4K0C3kjHyj,0.0,1.0,0.0,0.0,Neutral
28,28,SPORTSCIRCUSINT,Erling Haaland to Man City transfer fee and wages: Borussia Dortmund star set to cost less than Jack Grealish and could earn more than Cristiano Ronaldo as Etihad move nears completion https://t.co/VGyY2SjdMO https://t.co/RfUemDvYqG,0.0,1.0,0.0,0.0,Neutral
29,29,andyleg66,"@kjannati @SamWallaceTel @Paulpatty @TelegraphDucker No mate it's the incinderay reporting of a transfer fee that in the ludicrous world of football is a bargain. He is costing less than Maguire, Sancho, Pogba, Alison, Van Dyke, Grealish, Mahrez, Lukaku &amp; he is one of the 2 most in demand players in the world. That's the story!!!",-0.6761,0.84,0.129,0.031,Negative
30,30,KinkyMadness,"@ScouseSocialism Literally all our attacking signings have taken a year to bed in and Grealish is no different, you lot will call him a flop now but start trumpeting his transfer fee when he’s tearing the league apart next season",-0.5106,0.868,0.132,0.0,Negative
31,31,MidfieldTempo,@konig_prince This is their Gross wages for this season they have a very well established salary structure and hasn't broken it so far .They had one for transfer fee too untio they broke it for Grealish because FFP was suspended https://t.co/atzJvxeF98,-0.6191,0.715,0.184,0.101,Negative
32,32,Yorksblue61,"@SamWallaceTel @Paulpatty @TelegraphDucker The point Sam is that the transfer fee/agents fee is probably around £90M, and the salary is then paid over 5 years. City sell a couple of players, and then as with Grealish the actual cost is probably less than £50M. However that doesn't sound as interesting does it?",-0.3089,0.956,0.044,0.0,Negative
33,33,Onelastaccount2,"@Elliott76562164 @sanesou @KingdomMaxLTE @SkySportsPL Takes a year to settle at city, almost certainly going to sell a winger this season so grealish steps up. Haalands fee is 51m so only 1m more than Luis Diaz. But using pools net spend model, haaland will cost 0 in transfer fees.",0.2748,0.954,0.0,0.046,Positive
34,34,manuman61,"#Haaland's transfer fee trigger fixed at £62m sounds ridiculously cheap in comparison to #Grealish's £100m. Can't have been short of admirers for that price, irrespective of various associated fees, image rights etc.",0.0772,0.855,0.068,0.077,Positive
35,35,NwaforPatrick,"@HeadTojo @WelBeast @FabrizioRomano @ErlingHaaland Transfer fee is 75m, when did agent fee start to consign we fans?

What is the agent fee for Grealish, Pogba, Ronaldo, Neymar etc. please rest",0.3182,0.927,0.0,0.073,Positive
36,36,AndyB2708,"@sandro_dt90 @LondonBlue_2 You can’t compare grealish to firmino however. Both totally different transfer fee, expectations and output. Bobby transformed Liverpool. Yes he has had patches where he underperformed but he always has a positive impact when he plays",0.85,0.786,0.0,0.214,Positive
37,37,thelukmonkazeem,"@PoojaMedia That Grealish fee is one of the ridiculous transfer fee.

But Pep knows what he wants so let us leave him.

He will be fine at the end of the day.",-0.2878,0.834,0.114,0.052,Negative
38,38,pratham_1663,"@BilvaSZN @Delbosquepack @YjReviews look at transfer packages that'll give you a better understanding grealish was 100m in transfer fee 15m in salaries &amp; 5m-10m in agent commisions i.e 120-125m

whilst haaland will be 65m in release clause, 40m agent fee(raiola + dad) &amp; 30m his salary i.e 135m",0.4404,0.939,0.0,0.061,Positive
39,39,i_like_calzone,"@Keno2024 @dewhirstVN @SxrgioSZN £11 mil per season in prize money over say 5 years and you're still nowhere near Grealish transfer fee...

Face it, you support a completely bent football club that doesn't even try to hide how corrupt it is.",0.6486,0.824,0.039,0.137,Positive
40,40,shyhighner,I don't blame Man City's critics. Sometimes the club is unnecessarily reckless in their spendings. They surely need Haaland hence I am not bothered about his transfer fee. But I wonder why they spent 100m on Grealish if they planned to sign a striker. https://t.co/OXUo00j5NT,0.2495,0.753,0.103,0.144,Positive
41,41,OfficialDannyE,"@ScouseSocialism @jordanrmckay_ @thatmonokid Fuck me, both Liverpool and City spend HUGE money on players. City have sold 150m worth of players in the last two seasons whereas Liverpool have only sold about £40m. The Grealish transfer fee is inflated and makes the figures look worse. Both teams spend mega money.",-0.3954,0.8,0.115,0.086,Negative
42,42,josephwilliamb,"@tidal_tea @dunney_john @Cfckwaba there's a bit of anglophobia in it sure and what they don't understand is that the fact that somone was born in England doesn't add that much to the transfer fee at all.  When talent is the most important thing and the value to the club selling .
Grealish was worth a lot to villa",0.8588,0.813,0.0,0.187,Positive
43,43,reubenwanjala_,"If Harry Maguire and Jack Grealish were Spanish or Italians, their combined transfer fee isn't going past $18m. Bojan Krkic was much better than Grealish but he has never transferred for more than £8m https://t.co/zpf9aC597L",0.2382,0.946,0.0,0.054,Positive
44,44,auakhan,"@adders3880 … is Ruben Dias worth what he was or Jack Grealish worth 100m? This is t a fault of a manager but rather the system that was broken once Neymar was sold for that insane fee.

Look at Barcelona - Griezmann, Dembele, Coutinho. Failures who demanded such high transfer fees",-0.9325,0.675,0.275,0.05,Negative
45,45,NufcBryan,@geordiedentist @stevewraith @oldheatonian Still can’t win the champions League though you know the trophy with the big ears let’s see a record transfer fee for Haaland and a new CB Grealish never worked out huh 🤣🤣🤣🤣 https://t.co/x2L8stWZV3,0.802,0.821,0.0,0.179,Positive
46,46,Andrew40401415,Pep that was a bad signing Jack Grealish since he's been at City he can't fit into there style of play. He in not half the player he was at Villa . City should have spent there Million or less on the young Haaland from Dortmond save money on his wages and transfer fee and get rid,-0.0026,0.82,0.09,0.09,Negative
47,47,IRe_7R,"@SalkieA I get that but the criticism's mainly for our board for the transfer, nothing on the player tho. Grealish is a great player who's gonna do his bits in the team but for that fee u demand someone like KDB not another Gundogan. There are so many players of the same profile for cheap",0.8462,0.821,0.029,0.149,Positive
48,48,John25022937,"@Honleyblue @JonJennings92 Am I too think to understand? Projection much,

Where dis I ever say Pep does not make mistakes? Where?

Grealish was decent when he can on. You seem to think a transfer fee determines whether a goal is scored or not.

And no, you could not finish it. Not in your prime.",0.5481,0.914,0.0,0.086,Positive
49,49,KN1897,"@The_Juventino I've never seen a more useless signing than Grealish, the way he defended Carvajal on the 2nd goal, City should make him payback his transfer fee",0.3713,0.907,0.0,0.093,Positive
50,50,simi_baju,"For real!! Especially Grealish, it like they used his transfer fee to launder money. https://t.co/w2k1XCs5DQ",0.5184,0.807,0.0,0.193,Positive
51,51,iamajideabayomi,"@MarkOtabor How would I have seen the future to know that the Saudis would buy Newcastle? And I remember the same Aston Villa pleaded with Dwight Yorke to stay but man had his sight on bigger things. Cut Grealish some slack, he had no command of his transfer fee, Aston Villa did, not him",-0.6652,0.902,0.098,0.0,Negative
52,52,WaheedVadi,"5. Lastly, everyone knows I’m no fan of Paul Pogba. But the media have used his transfer fee as a beating stick for years. Why is the same not done to Grealish? Grealish was bought at 26 for £100m - that’s a “now” player, not a purchase of potential.",-0.4404,0.848,0.105,0.046,Negative
53,53,TrebleBlue,"@ManCity spent 100M on Grealish, who doesn't even start many matches. Supposedly chasing Haaland for silly transfer fee &amp; even more ridiculous salary.
Forget that &amp; go buy some defenders that are worthy of being called such &amp; offload those there now.",-0.1672,0.783,0.105,0.112,Negative
54,54,mhardman1978,@maxrushden @guardian_sport How much of the £100m transfer fee has Jack Grealish repaid so far?,0.0,1.0,0.0,0.0,Neutral
55,55,regalohelado,"That Grealish chance is proving costly now. One could probably accord the value of that miss equivalent to his transfer fee, for starters. 

#UCL",0.34,0.73,0.109,0.161,Positive
56,56,socialistbucks,Jack Grealish flopping after a massive transfer fee vs  Lukaku flopping after a massive transfer fee https://t.co/HU3LtPvVZt,0.0,1.0,0.0,0.0,Neutral
57,57,olaoluwaforyou,I’m sure Grealish paid his own transfer fee. How can an 100 million player be this useless?,-0.2382,0.73,0.158,0.112,Negative
58,58,muh_kharji,Grealish transfer fee is a greatest fool of 2021 😂,0.3182,0.458,0.221,0.321,Positive
59,59,sipsthebarry,"If there was a perfect time for Grealish to repay his humongous transfer fee, it’s now #RMAMCI",0.5719,0.802,0.0,0.198,Positive
60,60,Mira_Lambo,The Grealish transfer fee is not talked about enough. What a fraud.,-0.5859,0.725,0.275,0.0,Negative
61,61,tobzville,Grealish needed only THAT pass to justify at least €50m of his transfer fee.,0.0,1.0,0.0,0.0,Neutral
62,62,Elliott76562164,"@novicerne @Reds4ever7 @morgay69 @markgoldbridge Neymar, mbappe, felix, grealish, coutinho, greiZmann, lukaku, dembele.. thats 8 off the top of my head. Hazard just below, the fact your not acknowledging that transfers have quadrupled  in price since then is stupid. 30 million back then would break the transfer fee today. Fact",-0.3818,0.898,0.066,0.035,Negative
63,63,EJ10i,Lukaku has 1 more goal contribution than grealish in the exact same amount of appearances for the exact same transfer fee and not one person has said anything,0.0,1.0,0.0,0.0,Neutral
64,64,Mobolanle__,"@M___ASAD @mehulg10 U have said it all, he wasn’t as good as many of city’s forward, like I didn’t understand why he has to be bought not to talk of the transfer fee, what is grealish bringing that u don’t already have or have better?",0.8074,0.825,0.0,0.175,Positive
65,65,andy_cov93,@skybluecol I have to hugely disagree here I think the next 2 years he equals or betters Grealish transfer fee,-0.4391,0.847,0.153,0.0,Negative
66,66,CEtchingham77,@SteTudor123 @JDNalton I think Grealish is highlighted because of the transfer fee (not his fault) and that he was a known quantity to most fans beforehand so he has a greater expectation to meet because of how good people know he is,0.6872,0.867,0.0,0.133,Positive
