,Unnamed: 0,User,Tweet,Polarity Score,Neutral Score,Negative Score,Positive Score,Sentiment
0,0,NgomonginBolaa,"@GOAL_ID Ya emang faktanya gitu, klub gila mana yang bisa beli Grealish 100jt, lalu beli Haaland setahun setelahnya, yang mana biaya transfer + signing fee nya ga kalah mahal",0.0,1.0,0.0,0.0,Neutral
1,1,LFC89068,"@JCWhiteway @Onelastaccount2 @SkySportsStatto Absolutely clueless, you think wages and agent fees equate to 175 million after transfer? Hahaha.
I thought Torres fee went towards half of Grealish? Or didn't that suit?",0.3285,0.802,0.08,0.119,Positive
2,2,_setoodeh,"#ManCity made Ben Mendy transfer ""highest"".He turned out to be r@p!st.

Signed Jack Grealish ""highest fee"" and ue turned out flop of the season.

Signed Halaand ""highest paid"".

you know where this is going...",-0.4003,0.925,0.075,0.0,Negative
3,3,EddJones11,@RichardSymcox @liamgallagher Grealish isn't worth anywhere near his transfer fee. KDB on the other hand is worth a lot more!,0.2869,0.701,0.159,0.14,Positive
4,4,AnalisaUTD,@ESPNFC @RobDawsonESPN A bit classless by @ManCity piling on Fred. Why not compare to Grealish price ? Or Pepe ? Or any other high transfer fee player,0.0,1.0,0.0,0.0,Neutral
5,5,iangil89,"@HLTCO It’s only a matter of time before he leaves..similar situation to Grealish at Villa.

Signing a new contract will just mean the club with get the optimum transfer fee when he inevitably leaves.",0.0258,0.966,0.0,0.034,Positive
6,6,dermawan_dhafa,"@AmienDenis @ivnu_kun @SiaranBolaLive Ko fee fee gitu semua transfer tidak pernah dimasukan, jadi Grealish 117 m ya itu jg diluar fee fee yg itu :(",-0.4404,0.888,0.112,0.0,Negative
7,7,seanybonyronny,@palmoswince @SZ_ctid @Dembouz7ii @xGPhilosophy How is the transfer fee for 2 united flops irrelevant but for players like grealish who most city fans have been happy with all season. The transfer fee is mentioned when he’s called a flop.,0.7506,0.681,0.102,0.217,Positive
8,8,JElgott,"@R_o_M Tweet was about a transfer fee, Haaland’s transfer fee was half of Grealish’s. Fred was used, as was Jorginho in the next tweet, as two of the closest fees to him. Not done for likes, just context. Not really interested in arguing with people about it tho. Have a good night 👍🏻",-0.6334,0.811,0.139,0.05,Negative
9,9,TheUnknownMando,RT @VirginMane10: And Diaz costed 1/3rd to Grealish's transfer fee. https://t.co/h9dD33g8PJ,0.0,1.0,0.0,0.0,Neutral
10,10,VirginMane10,And Diaz costed 1/3rd to Grealish's transfer fee. https://t.co/h9dD33g8PJ,0.0,1.0,0.0,0.0,Neutral
11,11,solomonadonis,Jack grealish transfer fee is 100million because of the release clause. why is haaland fee now being called 250million when the the release clause is 55million?  Disappointment maybe?,-0.5661,0.881,0.119,0.0,Negative
