Name,Age,Team_from,League_from,Team_to,League_to,Season,marketvalue,fee
Christophe Hérelle,25,Troyes,Ligue 2,OGC Nice,Ligue 1,2018-2019,6000000,5000000
Firmin Mubele,24,Stade Rennais,Ligue 1,Toulouse,Ligue 1,2018-2019,6000000,5000000
Jonathan Ikoné,20,Paris SG,Ligue 1,LOSC Lille,Ligue 1,2018-2019,700000,5000000
Riyad Mahrez,27,Leicester,Premier League,Man City,Premier League,2018-2019,50000000,67800000
Alisson,25,AS Roma,Serie A,Liverpool,Premier League,2018-2019,60000000,62500000
Naby Keïta,23,RB Leipzig,1.Bundesliga,Liverpool,Premier League,2018-2019,65000000,60000000
Fred,25,Shakhtar D.,Premier Liga,Man Utd,Premier League,2018-2019,32000000,59000000
Jorginho,26,SSC Napoli,Serie A,Chelsea,Premier League,2018-2019,50000000,57000000
Fabinho,24,Monaco,Ligue 1,Liverpool,Premier League,2018-2019,45000000,45000000
Richarlison,21,Watford,Premier League,Everton,Premier League,2018-2019,25000000,39200000
Felipe Anderson,25,Lazio,Serie A,West Ham,Premier League,2018-2019,30000000,38000000
Jean Michaël Seri,27,OGC Nice,Ligue 1,Fulham,Premier League,2018-2019,30000000,30000000
Lucas Torreira,22,Sampdoria,Serie A,Arsenal,Premier League,2018-2019,30000000,30000000
Issa Diop,21,Toulouse,Ligue 1,West Ham,Premier League,2018-2019,22000000,25000000
Bernd Leno,26,Bay. Leverkusen,1.Bundesliga,Arsenal,Premier League,2018-2019,20000000,25000000
Jannik Vestergaard,25,Bor. M'gladbach,1.Bundesliga,Southampton,Premier League,2018-2019,14000000,25000000
James Maddison,21,Norwich,Championship,Leicester,Premier League,2018-2019,10000000,25000000
Ricardo Pereira,24,FC Porto,Liga NOS,Leicester,Premier League,2018-2019,20000000,22000000
Diogo Dalot,19,FC Porto,Liga NOS,Man Utd,Premier League,2018-2019,15000000,22000000
Lucas Digne,25,FC Barcelona,LaLiga,Everton,Premier League,2018-2019,15000000,20200000
Aleksandar Mitrovic,23,Newcastle,Premier League,Fulham,Premier League,2018-2019,15000000,20200000
Andriy Yarmolenko,28,Bor. Dortmund,1.Bundesliga,West Ham,Premier League,2018-2019,23000000,20000000
Terence Kongolo,24,Monaco,Ligue 1,Huddersfield,Premier League,2018-2019,10000000,20000000
Alireza Jahanbakhsh,24,AZ Alkmaar,Eredivisie,Brighton,Premier League,2018-2019,18000000,19000000
Mohamed Elyounoussi,23,FC Basel,Super League,Southampton,Premier League,2018-2019,8500000,18000000
Yves Bissouma,21,LOSC Lille,Ligue 1,Brighton,Premier League,2018-2019,8000000,16900000
Sokratis,30,Bor. Dortmund,1.Bundesliga,Arsenal,Premier League,2018-2019,20000000,16000000
Xherdan Shaqiri,26,Stoke City,Championship,Liverpool,Premier League,2018-2019,18000000,14700000
Diogo Jota,21,Atlético Madrid,LaLiga,Wolves,Premier League,2018-2019,12000000,14000000
Danny Ward,25,Liverpool,Premier League,Leicester,Premier League,2018-2019,2500000,14000000
Gerard Deulofeu,24,FC Barcelona,LaLiga,Watford,Premier League,2018-2019,14000000,13000000
Willy Boly,27,FC Porto,Liga NOS,Wolves,Premier League,2018-2019,5000000,12000000
Diego Rico,25,CD Leganés,LaLiga,Bournemouth,Premier League,2018-2019,2500000,12000000
Benik Afobe,25,Bournemouth,Premier League,Wolves,Premier League,2018-2019,10000000,11400000
Josh Murphy,23,Norwich,Championship,Cardiff,Premier League,2018-2019,1500000,11400000
Bobby Reid,25,Bristol City,Championship,Cardiff,Premier League,2018-2019,3000000,11350000
David Brooks,20,Sheffield Utd.,Championship,Bournemouth,Premier League,2018-2019,5000000,11300000
Angus Gunn,22,Man City,Premier League,Southampton,Premier League,2018-2019,2000000,11300000
Bernardo,23,RB Leipzig,1.Bundesliga,Brighton,Premier League,2018-2019,6000000,10000000
Adama Diakhaby,22,Monaco,Ligue 1,Huddersfield,Premier League,2018-2019,5000000,10000000
Keno,28,Palmeiras,Série A,Pyramids FC,Premier League,2018-2019,3500000,8600000
Lukasz Fabianski,33,Swansea,Championship,West Ham,Premier League,2018-2019,5000000,8000000
Mattéo Guendouzi,19,FC Lorient,Ligue 2,Arsenal,Premier League,2018-2019,2500000,8000000
Stuart Armstrong,26,Celtic,Premiership,Southampton,Premier League,2018-2019,2000000,7950000
Mikel Merino,22,Bor. Dortmund,1.Bundesliga,Newcastle,Premier League,2018-2019,10000000,7000000
Ramadan Sobhi,21,Stoke City,Championship,Huddersfield,Premier League,2018-2019,7000000,6500000
Florin Andone,25,Dep. La Coruña,LaLiga2,Brighton,Premier League,2018-2019,6000000,6000000
Fabri,30,Besiktas,Süper Lig,Fulham,Premier League,2018-2019,4000000,6000000
João Moutinho,31,Monaco,Ligue 1,Wolves,Premier League,2018-2019,10000000,5600000
Carlos Eduardo,21,Goiás EC,Série B,Pyramids FC,Premier League,2018-2019,2500000,5200000
Rodriguinho,30,Corinthians,Série A,Pyramids FC,Premier League,2018-2019,6000000,5100000
Adam Masina,24,Bologna,Serie A,Watford,Premier League,2018-2019,7000000,5000000
Florent Hadergjonaj,23,FC Ingolstadt,2.Bundesliga,Huddersfield,Premier League,2018-2019,5000000,5000000
Cristiano Ronaldo,33,Real Madrid,LaLiga,Juventus,Serie A,2018-2019,100000000,117000000
João Cancelo,24,Valencia CF,LaLiga,Juventus,Serie A,2018-2019,35000000,40400000
Douglas Costa,27,Bayern Munich ,1.Bundesliga,Juventus,Serie A,2018-2019,55000000,40000000
Radja Nainggolan,30,AS Roma,Serie A,Inter,Serie A,2018-2019,45000000,38000000
Fabián Ruiz,22,Real Betis,LaLiga,SSC Napoli,Serie A,2018-2019,20000000,30000000
Simone Verdi,25,Bologna,Serie A,SSC Napoli,Serie A,2018-2019,25000000,25000000
Javier Pastore,29,Paris SG,Ligue 1,AS Roma,Serie A,2018-2019,15000000,24700000
Alex Meret,21,Udinese Calcio,Serie A,SSC Napoli,Serie A,2018-2019,12000000,22000000
Nikola Kalinic,30,Fiorentina,Serie A,AC Milan,Serie A,2018-2019,14000000,20000000
Rolando Mandragora,21,Juventus,Serie A,Udinese Calcio,Serie A,2018-2019,10000000,20000000
Justin Kluivert,19,AFC Ajax,Eredivisie,AS Roma,Serie A,2018-2019,15000000,17250000
Duván Zapata,27,SSC Napoli,Serie A,Sampdoria,Serie A,2018-2019,20000000,17000000
Lautaro Martínez,20,Racing Club,Primera División,Inter,Serie A,2018-2019,25000000,16000000
Joaquín Correa,23,Sevilla FC,LaLiga,Lazio,Serie A,2018-2019,10000000,15000000
Grégoire Defrel,27,Sassuolo,Serie A,AS Roma,Serie A,2018-2019,10000000,15000000
Mattia Perin,25,Genoa,Serie A,Juventus,Serie A,2018-2019,16000000,12000000
M'Baye Niang,23,AC Milan,Serie A,Torino,Serie A,2018-2019,10000000,12000000
Gianluca Lapadula,28,AC Milan,Serie A,Genoa,Serie A,2018-2019,7000000,11000000
Francesco Acerbi,30,Sassuolo,Serie A,Lazio,Serie A,2018-2019,10000000,10000000
Leonardo Pavoletti,29,SSC Napoli,Serie A,Cagliari Calcio,Serie A,2018-2019,9000000,10000000
Soualiho Meïté,24,Monaco,Ligue 1,Torino,Serie A,2018-2019,8000000,10000000
Diego Falcinelli,27,Sassuolo,Serie A,Bologna,Serie A,2018-2019,3800000,10000000
Federico Di Francesco,24,Bologna,Serie A,Sassuolo,Serie A,2018-2019,3500000,10000000
Davide Santon,27,Inter,Serie A,AS Roma,Serie A,2018-2019,3000000,9500000
Patrik Schick,22,Sampdoria,Serie A,AS Roma,Serie A,2018-2019,20000000,9000000
Germán Pezzella,27,Real Betis,LaLiga,Fiorentina,Serie A,2018-2019,13000000,9000000
Riccardo Saponara,26,FC Empoli,Serie A,Fiorentina,Serie A,2018-2019,9000000,9000000
Khouma Babacar,25,Fiorentina,Serie A,Sassuolo,Serie A,2018-2019,8000000,9000000
Lukasz Skorupski,27,AS Roma,Serie A,Bologna,Serie A,2018-2019,7000000,9000000
Antonino La Gumina,22,US Palermo,Serie B,FC Empoli,Serie A,2018-2019,2000000,9000000
Alban Lafont,19,Toulouse,Ligue 1,Fiorentina,Serie A,2018-2019,18000000,8500000
Robin Olsen,28,FC Copenhagen,Superligaen,AS Roma,Serie A,2018-2019,2500000,8500000
Armando Izzo,26,Genoa,Serie A,Torino,Serie A,2018-2019,8500000,8000000
Ignacio Pussetto,22,Huracán,Primera División,Udinese Calcio,Serie A,2018-2019,7000000,8000000
Omar Colley,25,KRC Genk,Jupiler Pro League,Sampdoria,Serie A,2018-2019,5000000,7750000
Valon Berisha,25,RB Salzburg,Bundesliga,Lazio,Serie A,2018-2019,10000000,7500000
Andrea Favilli,21,Ascoli,Serie B,Juventus,Serie A,2018-2019,4000000,7500000
Federico Valietti,19,Inter,Serie A,Genoa,Serie A,2018-2019,500000,7500000
Federico Dimarco,20,FC Sion,Super League,Inter,Serie A,2018-2019,2000000,7000000
Lucas Castro,29,Chievo Verona,Serie A,Cagliari Calcio,Serie A,2018-2019,7000000,6500000
Riza Durmisi,24,Real Betis,LaLiga,Lazio,Serie A,2018-2019,5000000,6500000
Ronaldo Vieira,20,Leeds,Championship,Sampdoria,Serie A,2018-2019,2000000,6500000
Tomás Rincón,30,Juventus,Serie A,Torino,Serie A,2018-2019,8000000,6000000
Ante Coric,21,Dinamo Zagreb,1.HNL,AS Roma,Serie A,2018-2019,7500000,6000000
Federico Santander,27,FC Copenhagen,Superligaen,Bologna,Serie A,2018-2019,2000000,6000000
Bremer,21,Atlético-MG,Série A,Torino,Serie A,2018-2019,1000000,5800000
Fabio Borini,27,Sunderland,League One,AC Milan,Serie A,2018-2019,7000000,5500000
Bryan Cristante,23,Benfica,Liga NOS,Atalanta,Serie A,2018-2019,25000000,5000000
Christian Kouamé,20,Cittadella,Serie B,Genoa,Serie A,2018-2019,2800000,5000000
Felipe Vizeu,21,Flamengo,Série A,Udinese Calcio,Serie A,2018-2019,1500000,5000000
Marco Tumminello,19,AS Roma,Serie A,Atalanta,Serie A,2018-2019,1000000,5000000
Jens Odgaard,19,Inter,Serie A,Sassuolo,Serie A,2018-2019,800000,5000000
Marco Carraro,20,Inter,Serie A,Atalanta,Serie A,2018-2019,800000,5000000
Giangiacomo Magnani,22,Juventus,Serie A,Sassuolo,Serie A,2018-2019,600000,5000000
Giangiacomo Magnani,22,Perugia,Serie B,Juventus,Serie A,2018-2019,600000,5000000
Jasmin Kurtic,29,Atalanta,Serie A,SPAL,Serie A,2018-2019,5000000,4800000
